country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)"
Holy See,SouthernEurope,0.44,1,1800,219.2,78,0.5,654.5,11,643,8834,1.8,54.8,3.2,57.7/54.3
Honduras,CentralAmerica,112492,9265,82.8,99.4,20365,3.6,2521.9,5.6,3657,8448,1.8,54.7,2.6,75.4/70.4
Hungary,EasternEurope,93024,9722,107.4,90.7,121715,3.1,12350.6,4.5,103071,92044,-0.3,71.2,1.3,78.8/71.7
Iceland,NorthernEurope,103000,335,3.3,100.7,16780,4.2,50936,3.6,4450,5703,0.6,94.1,2,83.8/80.6
India,SouthernAsia,3287263,1339180,450.4,107.6,2116239,7.6,1614.2,3.4,260327,356705,1.2,32.7,2.4,69.1/66.2
Indonesia,South-easternAsia,1910931,263991,145.7,101.4,861934,4.8,3346.5,5.8,144490,135653,1.2,53.7,2.4,70.7/66.6
Iran (Islamic Republic of),SouthernAsia,1628750,81163,49.8,101.2,398563,0.4,5038.1,11.3,45627,35333,1.2,73.4,1.7,76.2/74.0
Iraq,WesternAsia,435052,38275,88.1,102.5,164234,-2.4,4509,16.1,27341,45831,3.2,69.5,4.6,71.4/67.0
Ireland,NorthernEurope,69797,4762,69.1,98.4,283716,26.3,60513.6,7.6,129315,76997,0.3,63.2,2,83.0/78.7
Isle of Man,NorthernEurope,572,84,147.9,98.2,89765,11,6543.5,2.6,53,943,0.8,52.2,1.5,76.2/74.0
Israel,WesternAsia,22072,8322,384.5,98.7,299413,2.5,37129.4,5.9,60571,65803,1.6,92.1,3,83.7/80.0
Italy,SouthernEurope,302073,59360,201.8,95.1,1821580,0.7,30462.4,11.4,461529,404578,-0.1,69,1.4,84.7/79.9
Jamaica,Caribbean,10990,2890,266.9,99,14262,1,5105.8,13.1,1202,4767,0.4,54.8,2.1,77.9/73.1
Japan,EasternAsia,377930,127484,349.7,95.4,4383076,1.2,34628.7,3,644932,606924,-0.1,93.5,1.4,86.4/80.0
